 minimum eigenvalues =   4.941846816657214E-007  6.033484297786003E-007
  7.784536289879900E-007
 maximum eigenvalues =   3.096817958781036E-002  1.157993503354801E-002
  8.325909975506531E-003
 num eigs kept =           85
 minimum eigenvalues =   4.941846816657214E-007  6.033484297786003E-007
  7.784536289879900E-007
 maximum eigenvalues =   3.096817958781036E-002  1.157993503354801E-002
  8.325909975506531E-003
 num eigs kept =           85
 iter     1 lrate =  0.0500000000 LL =   3.8257812415 nd =  0.0570992020, D =   0.29422E-01  0.29422E-01  (  8.58 s,   0.5 h)
 iter     2 lrate =  0.0500000000 LL =   4.2389994713 nd =  0.0676028856, D =   0.27629E-01  0.27629E-01  (  8.34 s,   0.5 h)
 iter     3 lrate =  0.0500000000 LL =   4.3840484674 nd =  0.0844890195, D =   0.71287E-01  0.71287E-01  (  6.64 s,   0.4 h)
 iter     4 lrate =  0.0500000000 LL =   4.4412265089 nd =  0.1719977651, D =   0.26895E+00  0.26895E+00  (  6.42 s,   0.3 h)
 iter     5 lrate =  0.0500000000 LL =   4.4275059321 nd =  0.0821081809, D =   0.73082E+00  0.73082E+00  (  6.41 s,   0.3 h)
 iter     6 lrate =  0.0500000000 LL =   4.4762898209 nd =  0.0666544007, D =   0.10123E+01  0.10123E+01  (  6.28 s,   0.3 h)
 iter     7 lrate =  0.0500000000 LL =   4.4964422626 nd =  0.1004780891, D =   0.13980E+01  0.13980E+01  (  5.81 s,   0.3 h)
 iter     8 lrate =  0.0500000000 LL =   4.4879650867 nd =  0.1132637787, D =   0.18696E+01  0.18696E+01  (  6.36 s,   0.3 h)
 iter     9 lrate =  0.0500000000 LL =   4.5183896799 nd =  0.0827838461, D =   0.22269E+01  0.22269E+01  (  6.33 s,   0.3 h)
 iter    10 lrate =  0.0500000000 LL =   4.5380722273 nd =  0.1085549002, D =   0.26490E+01  0.26490E+01  (  6.11 s,   0.3 h)
 iter    11 lrate =  0.0500000000 LL =   4.5248946225 nd =  0.1688050846, D =   0.30302E+01  0.30302E+01  ( 18.22 s,   1.0 h)
 iter    12 lrate =  0.0250000000 LL =   4.5298789554 nd =  0.1481911550, D =   0.32122E+01  0.32122E+01  (  6.49 s,   0.3 h)
 iter    13 lrate =  0.0250000000 LL =   4.5538828242 nd =  0.1093281098, D =   0.33836E+01  0.33836E+01  (  6.42 s,   0.3 h)
 iter    14 lrate =  0.0250000000 LL =   4.5577021759 nd =  0.1835823934, D =   0.35795E+01  0.35795E+01  (  6.49 s,   0.3 h)
 iter    15 lrate =  0.0250000000 LL =   4.5343549567 nd =  0.1787561543, D =   0.37639E+01  0.37639E+01  (  5.87 s,   0.3 h)
 iter    16 lrate =  0.0250000000 LL =   4.5544176697 nd =  0.1305338442, D =   0.39226E+01  0.39226E+01  (  6.23 s,   0.3 h)
 iter    17 lrate =  0.0250000000 LL =   4.5652409467 nd =  0.1573239307, D =   0.40948E+01  0.40948E+01  (  6.45 s,   0.3 h)
 iter    18 lrate =  0.0250000000 LL =   4.5512806031 nd =  0.1982342739, D =   0.42628E+01  0.42628E+01  (  6.19 s,   0.3 h)
 iter    19 lrate =  0.0250000000 LL =   4.5537914022 nd =  0.1564555107, D =   0.44356E+01  0.44356E+01  (  6.31 s,   0.3 h)
