 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 minimum eigenvalues =   4.083839407946686E-007  4.442708756298749E-007
  5.097830153459833E-007
 maximum eigenvalues =   3.373783201876297E-002  2.415692023060537E-002
  1.010673374372872E-002
 num eigs kept =           87
 iter     1 lrate =  0.0500000000 LL =   4.0203979752 nd =  0.0525371157, D =   0.31131E-01  0.31131E-01  (  7.29 s,   0.4 h)
 iter     2 lrate =  0.0500000000 LL =   4.3628461742 nd =  0.0523476710, D =   0.28601E-01  0.28601E-01  (  7.42 s,   0.4 h)
 iter     3 lrate =  0.0500000000 LL =   4.4697394361 nd =  0.0579373025, D =   0.50507E-01  0.50507E-01  (  6.50 s,   0.4 h)
 iter     4 lrate =  0.0500000000 LL =   4.5123993603 nd =  0.0616419692, D =   0.15777E+00  0.15777E+00  (  6.57 s,   0.4 h)
 iter     5 lrate =  0.0500000000 LL =   4.5376970719 nd =  0.0627329847, D =   0.36401E+00  0.36401E+00  (  7.43 s,   0.4 h)
 iter     6 lrate =  0.0500000000 LL =   4.5529189688 nd =  0.0921060842, D =   0.65604E+00  0.65604E+00  (  8.77 s,   0.5 h)
 iter     7 lrate =  0.0500000000 LL =   4.5488822847 nd =  0.0847323577, D =   0.95468E+00  0.95468E+00  (  7.43 s,   0.4 h)
 iter     8 lrate =  0.0500000000 LL =   4.5712844033 nd =  0.0516154151, D =   0.12571E+01  0.12571E+01  (  7.25 s,   0.4 h)
 iter     9 lrate =  0.0500000000 LL =   4.5840479019 nd =  0.0621870370, D =   0.15772E+01  0.15772E+01  (  7.48 s,   0.4 h)
 iter    10 lrate =  0.0500000000 LL =   4.5848129009 nd =  0.0956036040, D =   0.19151E+01  0.19151E+01  (  6.24 s,   0.3 h)
 iter    11 lrate =  0.0500000000 LL =   4.5861056669 nd =  0.0770080454, D =   0.22353E+01  0.22353E+01  ( 18.90 s,   1.0 h)
 iter    12 lrate =  0.0500000000 LL =   4.6007082977 nd =  0.0588518841, D =   0.25193E+01  0.25193E+01  (  6.78 s,   0.4 h)
 iter    13 lrate =  0.0500000000 LL =   4.6028038269 nd =  0.0889949175, D =   0.28041E+01  0.28041E+01  (  6.53 s,   0.3 h)
 iter    14 lrate =  0.0500000000 LL =   4.6002423847 nd =  0.0809503878, D =   0.31031E+01  0.31031E+01  (  5.86 s,   0.3 h)
 iter    15 lrate =  0.0500000000 LL =   4.6124445503 nd =  0.0647289708, D =   0.33335E+01  0.33335E+01  (  5.20 s,   0.3 h)
 iter    16 lrate =  0.0500000000 LL =   4.6141004719 nd =  0.0826683429, D =   0.35854E+01  0.35854E+01  (  5.81 s,   0.3 h)
 iter    17 lrate =  0.0500000000 LL =   4.6139506364 nd =  0.0784751075, D =   0.38220E+01  0.38220E+01  (  6.15 s,   0.3 h)
 iter    18 lrate =  0.0250000000 LL =   4.6250223911 nd =  0.0444631881, D =   0.39115E+01  0.39115E+01  (  6.69 s,   0.3 h)
 iter    19 lrate =  0.0250000000 LL =   4.6287429978 nd =  0.0657095530, D =   0.40171E+01  0.40171E+01  (  7.30 s,   0.4 h)
 iter    20 lrate =  0.0250000000 LL =   4.6265409958 nd =  0.0963307838, D =   0.41234E+01  0.41234E+01  (  5.21 s,   0.3 h)
 iter    21 lrate =  0.0250000000 LL =   4.6265770076 nd =  0.0868942179, D =   0.42268E+01  0.42268E+01  ( 13.40 s,   0.7 h)
 iter    22 lrate =  0.0250000000 LL =   4.6312965677 nd =  0.0713198654, D =   0.43205E+01  0.43205E+01  (  6.74 s,   0.3 h)
 iter    23 lrate =  0.0250000000 LL =   4.6324429742 nd =  0.0833104910, D =   0.44154E+01  0.44154E+01  (  6.58 s,   0.3 h)
 iter    24 lrate =  0.0250000000 LL =   4.6320224002 nd =  0.0868313028, D =   0.45088E+01  0.45088E+01  (  6.26 s,   0.3 h)
 iter    25 lrate =  0.0250000000 LL =   4.6344071538 nd =  0.0799572079, D =   0.45955E+01  0.45955E+01  (  6.67 s,   0.3 h)
 iter    26 lrate =  0.0250000000 LL =   4.6357642567 nd =  0.0807161098, D =   0.46801E+01  0.46801E+01  (  6.58 s,   0.3 h)
 iter    27 lrate =  0.0250000000 LL =   4.6366059792 nd =  0.0837340514, D =   0.47607E+01  0.47607E+01  (  6.63 s,   0.3 h)
 iter    28 lrate =  0.0250000000 LL =   4.6373493750 nd =  0.0825688725, D =   0.48380E+01  0.48380E+01  (  7.71 s,   0.4 h)
