 minimum eigenvalues =   1.401522261953711E-006  1.437315477328835E-006
  2.059683517993595E-006
 maximum eigenvalues =   5.509697571974145E-002  1.154547815060991E-002
  4.006196709648658E-003
 num eigs kept =           80
 minimum eigenvalues =   1.401522261953711E-006  1.437315477328835E-006
  2.059683517993595E-006
 maximum eigenvalues =   5.509697571974145E-002  1.154547815060991E-002
  4.006196709648658E-003
 num eigs kept =           80
 iter     1 lrate =  0.0500000000 LL =   3.5441298211 nd =  0.0608583601, D =   0.26607E-01  0.26607E-01  (  6.30 s,   0.3 h)
 iter     2 lrate =  0.0500000000 LL =   3.9455254950 nd =  0.0696545348, D =   0.24623E-01  0.24623E-01  (  6.05 s,   0.3 h)
 iter     3 lrate =  0.0500000000 LL =   4.0950951942 nd =  0.0868592190, D =   0.65899E-01  0.65899E-01  (  5.84 s,   0.3 h)
 iter     4 lrate =  0.0500000000 LL =   4.1458418964 nd =  0.2447530415, D =   0.25917E+00  0.25917E+00  (  6.06 s,   0.3 h)
 iter     5 lrate =  0.0500000000 LL =   4.1337699642 nd =  0.0789473949, D =   0.96094E+00  0.96094E+00  (  5.28 s,   0.3 h)
 iter     6 lrate =  0.0500000000 LL =   4.1817930429 nd =  0.0692085692, D =   0.12371E+01  0.12371E+01  (  5.78 s,   0.3 h)
 iter     7 lrate =  0.0500000000 LL =   4.1991492941 nd =  0.0924391475, D =   0.16154E+01  0.16154E+01  (  6.14 s,   0.3 h)
 iter     8 lrate =  0.0500000000 LL =   4.1974098820 nd =  0.1157684445, D =   0.20460E+01  0.20460E+01  (  6.22 s,   0.3 h)
 iter     9 lrate =  0.0500000000 LL =   4.2157661079 nd =  0.0653672572, D =   0.24482E+01  0.24482E+01  (  5.91 s,   0.3 h)
 iter    10 lrate =  0.0500000000 LL =   4.2335285995 nd =  0.0510086150, D =   0.28506E+01  0.28506E+01  (  6.59 s,   0.3 h)
 iter    11 lrate =  0.0500000000 LL =   4.2460457987 nd =  0.0592077208, D =   0.32678E+01  0.32678E+01  ( 17.73 s,   0.9 h)
 iter    12 lrate =  0.0500000000 LL =   4.2480195028 nd =  0.1152239031, D =   0.36726E+01  0.36726E+01  (  6.43 s,   0.3 h)
 iter    13 lrate =  0.0500000000 LL =   4.2421305174 nd =  0.0930706688, D =   0.41157E+01  0.41157E+01  (  5.77 s,   0.3 h)
 iter    14 lrate =  0.0250000000 LL =   4.2596483908 nd =  0.0624381697, D =   0.42629E+01  0.42629E+01  (  6.31 s,   0.3 h)
 iter    15 lrate =  0.0250000000 LL =   4.2703067304 nd =  0.0586972774, D =   0.44454E+01  0.44454E+01  (  5.89 s,   0.3 h)
 iter    16 lrate =  0.0250000000 LL =   4.2793490162 nd =  0.0554147605, D =   0.46399E+01  0.46399E+01  (  5.85 s,   0.3 h)
 iter    17 lrate =  0.0250000000 LL =   4.2868800465 nd =  0.0714756476, D =   0.48419E+01  0.48419E+01  (  5.61 s,   0.3 h)
 iter    18 lrate =  0.0250000000 LL =   4.2910360294 nd =  0.1147371717, D =   0.50384E+01  0.50384E+01  (  5.38 s,   0.3 h)
 iter    19 lrate =  0.0250000000 LL =   4.2797860276 nd =  0.2481185771, D =   0.51444E+01  0.51444E+01  (  6.05 s,   0.3 h)
 iter    20 lrate =  0.0250000000 LL =   4.2602088068 nd =  0.0972174595, D =   0.55004E+01  0.55004E+01  (  6.43 s,   0.3 h)
 iter    21 lrate =  0.0250000000 LL =   4.2772961874 nd =  0.0815078587, D =   0.55480E+01  0.55480E+01  ( 15.03 s,   0.7 h)
 iter    22 lrate =  0.0250000000 LL =   4.2832045355 nd =  0.1010893609, D =   0.56212E+01  0.56212E+01  (  6.34 s,   0.3 h)
 iter    23 lrate =  0.0250000000 LL =   4.2899502970 nd =  0.1122835777, D =   0.56961E+01  0.56961E+01  (  5.71 s,   0.3 h)
 iter    24 lrate =  0.0250000000 LL =   4.2923120354 nd =  0.1540736381, D =   0.57633E+01  0.57633E+01  (  6.53 s,   0.3 h)
 iter    25 lrate =  0.0250000000 LL =   4.2757215684 nd =  0.1406355069, D =   0.59229E+01  0.59229E+01  (  5.76 s,   0.3 h)
 iter    26 lrate =  0.0125000000 LL =   4.2946790146 nd =  0.0830706814, D =   0.59510E+01  0.59510E+01  (  7.33 s,   0.4 h)
